dept;apl_median_dept;apl_p25;apl_p75
01;2.30;1.70;3.00
02;2.60;2.10;3.30
03;2.60;1.90;3.40
04;2.20;1.05;3.70
05;3.85;2.50;5.28
06;2.90;0.50;4.65
07;2.40;1.30;3.35
08;3.10;2.40;3.90
09;3.00;2.00;3.80
10;2.40;1.85;3.10
11;2.60;1.50;3.40
12;2.90;1.60;3.70
13;4.00;3.35;4.65
14;3.40;2.80;4.10
15;2.90;1.62;3.90
16;2.80;2.30;3.40
17;3.20;2.70;3.90
18;1.70;1.40;2.20
19;2.70;1.90;3.40
21;2.80;2.10;3.60
22;2.90;2.28;3.50
23;2.60;1.95;3.25
24;2.70;2.00;3.30
25;3.40;2.40;4.30
26;2.85;1.90;3.68
27;2.30;1.80;2.90
28;2.10;1.80;2.50
29;3.70;3.00;4.40
2A;1.90;0.38;3.98
2B;0.30;0.00;3.70
30;3.05;2.30;3.80
31;3.40;2.50;4.20
32;3.20;2.50;3.80
33;3.60;3.10;4.30
34;3.40;2.30;4.40
35;3.20;2.58;3.80
36;2.30;1.70;2.90
37;3.40;2.90;4.00
38;2.80;2.00;3.70
39;3.20;2.40;4.00
40;3.50;2.90;4.20
41;2.20;1.80;2.90
42;2.80;2.00;3.40
43;2.50;1.50;3.70
44;3.00;2.50;3.60
45;1.80;1.40;2.40
46;2.70;1.90;3.40
47;2.60;1.80;3.20
48;2.00;0.78;3.10
49;3.25;2.78;3.90
50;2.60;2.10;3.20
51;2.90;1.90;3.80
52;2.55;1.70;3.30
53;2.45;2.00;2.90
54;3.00;2.30;3.70
55;3.10;2.10;3.80
56;3.30;2.70;4.00
57;3.10;2.30;3.70
58;2.20;1.40;3.20
59;3.60;3.10;4.50
60;2.70;2.10;3.30
61;2.70;2.20;3.20
62;3.30;2.60;4.10
63;3.00;2.00;3.90
64;3.40;2.50;4.20
65;3.00;2.10;4.00
66;2.90;1.42;4.28
67;3.80;3.20;4.50
68;2.90;2.30;3.70
69;3.00;2.32;3.70
70;3.30;2.60;4.00
71;2.40;1.80;3.00
72;2.40;1.90;2.90
73;3.20;1.90;4.20
74;2.60;2.00;3.70
75;5.00;5.00;5.00
76;3.30;2.70;4.00
77;2.10;1.60;2.55
78;2.30;1.80;2.80
79;2.50;2.00;3.20
80;3.60;3.00;4.30
81;2.90;2.20;3.40
82;2.90;2.25;3.50
83;3.00;2.30;4.00
84;3.00;2.40;3.55
85;2.50;2.10;3.10
86;3.30;2.60;3.90
87;3.10;2.40;3.60
88;3.10;2.40;3.90
89;2.30;1.50;3.10
90;3.00;2.20;4.00
91;2.40;2.10;2.70
92;3.05;2.60;3.62
93;3.10;2.75;3.65
94;3.50;3.10;4.35
95;2.30;1.80;2.70
971;3.30;2.55;3.70
972;2.80;2.42;3.45
973;0.60;0.00;1.98
974;4.75;3.78;5.50
976;0.50;0.20;0.90
